territorio,sesso,stato_denuncia,periodo,numero_vittime
bolzano,femmine,denuncia,2017,2
bolzano,femmine,denuncia,2020,2
bolzano,femmine,denuncia,2021,3
bolzano,femmine,denuncia,2022,5
bolzano,femmine,ritira la denuncia,2019,2
bolzano,femmine,ritira la denuncia,2022,1
bolzano,femmine,non denuncia,2015,9
bolzano,femmine,non denuncia,2016,12
bolzano,femmine,non denuncia,2017,5
bolzano,femmine,non denuncia,2018,13
bolzano,femmine,non denuncia,2019,17
bolzano,femmine,non denuncia,2020,19
bolzano,femmine,non denuncia,2021,30
bolzano,femmine,non denuncia,2022,33
bolzano,femmine,non disponibile,2015,1
bolzano,femmine,non disponibile,2016,1
bolzano,femmine,non disponibile,2018,1
bolzano,femmine,non disponibile,2020,7
bolzano,femmine,non disponibile,2021,5
bolzano,femmine,non disponibile,2022,3
trento,maschi,denuncia,2015,1
trento,maschi,denuncia,2018,2
trento,maschi,denuncia,2021,4
trento,maschi,non denuncia,2015,1
trento,maschi,non denuncia,2016,3
trento,maschi,non denuncia,2017,2
trento,maschi,non denuncia,2020,4
trento,maschi,non denuncia,2021,3
trento,maschi,non risponde,2020,1
